,0,1,2,3
180,lingam,test,test_data_corr,0.23655913978494625
181,lingam,test,full_data_corr,0.10526315789473684
182,ges,train,shd,28.0
183,ges,val,shd,33.0
184,ges,test,shd,35.0
185,Run - 5,,,
186,pc,train,shd,20.0
187,pc,val,shd,18.0
188,pc,test,shd,19.0
189,lingam,train,train_data_corr,0.23880597014925373
190,lingam,train,full_data_corr,0.16393442622950818
191,lingam,val,val_data_corr,0.21428571428571427
192,lingam,val,full_data_corr,0.24561403508771928
193,lingam,test,test_data_corr,0.48
194,lingam,test,full_data_corr,0.41975308641975306
195,ges,train,shd,33.0
196,ges,val,shd,33.0
197,ges,test,shd,29.0
198,insurance,,,
199,Run - 1,,,
200,pc,train,shd,45.0
201,pc,val,shd,45.0
202,pc,test,shd,40.0
203,lingam,train,train_data_corr,0.327683615819209
204,lingam,train,full_data_corr,0.25609756097560976
205,lingam,val,val_data_corr,0.2727272727272727
206,lingam,val,full_data_corr,0.2916666666666667
207,lingam,test,test_data_corr,0.44715447154471544
208,lingam,test,full_data_corr,0.3804878048780488
209,ges,train,shd,46.0
210,ges,val,shd,48.0
211,ges,test,shd,36.0
212,Run - 2,,,
213,pc,train,shd,40.0
214,pc,val,shd,38.0
215,pc,test,shd,46.0
216,lingam,train,train_data_corr,0.3282051282051282
217,lingam,train,full_data_corr,0.2905027932960894
218,lingam,val,val_data_corr,0.3286384976525822
219,lingam,val,full_data_corr,0.313953488372093
220,lingam,test,test_data_corr,0.36752136752136755
221,lingam,test,full_data_corr,0.2962962962962963
222,ges,train,shd,43.0
223,ges,val,shd,38.0
224,ges,test,shd,35.0
225,Run - 3,,,
226,pc,train,shd,49.0
227,pc,val,shd,51.0
228,pc,test,shd,44.0
229,lingam,train,train_data_corr,0.18181818181818182
230,lingam,train,full_data_corr,0.1984732824427481
231,lingam,val,val_data_corr,0.4797047970479705
232,lingam,val,full_data_corr,0.39069767441860465
233,lingam,test,test_data_corr,0.35714285714285715
234,lingam,test,full_data_corr,0.2857142857142857
235,ges,train,shd,70.0
236,ges,val,shd,42.0
237,ges,test,shd,61.0
238,Run - 4,,,
239,pc,train,shd,41.0
240,pc,val,shd,40.0
241,pc,test,shd,51.0
242,lingam,train,train_data_corr,0.23943661971830985
243,lingam,train,full_data_corr,0.24793388429752067
244,lingam,val,val_data_corr,0.5163934426229508
245,lingam,val,full_data_corr,0.4519230769230769
246,lingam,test,test_data_corr,0.17333333333333334
247,lingam,test,full_data_corr,0.1565217391304348
248,ges,train,shd,42.0
249,ges,val,shd,-1.0
250,ges,test,shd,45.0
251,Run - 5,,,
252,pc,train,shd,45.0
253,pc,val,shd,47.0
254,pc,test,shd,43.0
255,lingam,train,train_data_corr,0.2988505747126437
256,lingam,train,full_data_corr,0.24050632911392406
257,lingam,val,val_data_corr,0.2696629213483146
258,lingam,val,full_data_corr,0.2158273381294964
259,lingam,test,test_data_corr,0.1794871794871795
260,lingam,test,full_data_corr,0.08196721311475409
261,ges,train,shd,45.0
262,ges,val,shd,57.0
263,ges,test,shd,44.0
264,asia,,,
265,Run - 1,,,
266,pc,train,shd,1.0
267,pc,val,shd,5.0
268,pc,test,shd,5.0
269,lingam,train,train_data_corr,0.7619047619047619
270,lingam,train,full_data_corr,0.7619047619047619
271,lingam,val,val_data_corr,0.6956521739130435
272,lingam,val,full_data_corr,0.8
273,lingam,test,test_data_corr,0.7777777777777778
274,lingam,test,full_data_corr,0.8235294117647058
275,ges,train,shd,3.0
276,ges,val,shd,3.0
277,ges,test,shd,3.0
278,Run - 2,,,
279,pc,train,shd,1.0
280,pc,val,shd,6.0
281,pc,test,shd,1.0
282,lingam,train,train_data_corr,0.7777777777777778
283,lingam,train,full_data_corr,0.8
