,0,1,2,3
220,lingam,train,shd_undir,30
221,lingam,val,shd_dir,35
222,lingam,val,shd_undir,23
223,lingam,test,shd_dir,37
224,lingam,test,shd_undir,27
225,ges,train,shd_dir,29
226,ges,train,shd_undir,18
227,ges,val,shd_dir,33
228,ges,val,shd_undir,12
229,ges,test,shd_dir,24
230,ges,test,shd_undir,13
232,pc,train,shd_dir,21
233,pc,train,shd_undir,7
234,pc,val,shd_dir,15
235,pc,val,shd_undir,9
236,pc,test,shd_dir,18
237,pc,test,shd_undir,8
238,lingam,train,shd_dir,48
239,lingam,train,shd_undir,32
240,lingam,val,shd_dir,41
241,lingam,val,shd_undir,25
242,lingam,test,shd_dir,39
243,lingam,test,shd_undir,23
244,ges,train,shd_dir,38
245,ges,train,shd_undir,20
246,ges,val,shd_dir,31
247,ges,val,shd_undir,11
248,ges,test,shd_dir,28
249,ges,test,shd_undir,15
251,pc,train,shd_dir,23
252,pc,train,shd_undir,11
253,pc,val,shd_dir,18
254,pc,val,shd_undir,6
255,pc,test,shd_dir,24
256,pc,test,shd_undir,6
257,lingam,train,shd_dir,51
258,lingam,train,shd_undir,37
259,lingam,val,shd_dir,44
260,lingam,val,shd_undir,28
261,lingam,test,shd_dir,42
262,lingam,test,shd_undir,30
263,ges,train,shd_dir,30
264,ges,train,shd_undir,19
265,ges,val,shd_dir,30
266,ges,val,shd_undir,11
267,ges,test,shd_dir,38
268,ges,test,shd_undir,12
270,pc,train,shd_dir,24
271,pc,train,shd_undir,8
272,pc,val,shd_dir,19
273,pc,val,shd_undir,9
274,pc,test,shd_dir,26
275,pc,test,shd_undir,8
276,lingam,train,shd_dir,48
277,lingam,train,shd_undir,30
278,lingam,val,shd_dir,40
279,lingam,val,shd_undir,28
280,lingam,test,shd_dir,42
281,lingam,test,shd_undir,26
282,ges,train,shd_dir,33
283,ges,train,shd_undir,20
284,ges,val,shd_dir,33
285,ges,val,shd_undir,11
286,ges,test,shd_dir,29
287,ges,test,shd_undir,9
288,insurance,,,
289,Run - 1,,,
290,pc,train,shd_dir,46
291,pc,train,shd_undir,28
292,pc,val,shd_dir,43
293,pc,val,shd_undir,29
294,pc,test,shd_dir,44
295,pc,test,shd_undir,30
296,lingam,train,shd_dir,89
297,lingam,train,shd_undir,57
298,lingam,val,shd_dir,80
299,lingam,val,shd_undir,62
300,lingam,test,shd_dir,85
301,lingam,test,shd_undir,55
302,ges,train,shd_dir,46
303,ges,train,shd_undir,35
304,ges,val,shd_dir,48
305,ges,val,shd_undir,32
306,ges,test,shd_dir,36
307,ges,test,shd_undir,27
309,pc,train,shd_dir,39
310,pc,train,shd_undir,27
311,pc,val,shd_dir,45
312,pc,val,shd_undir,31
313,pc,test,shd_dir,43
314,pc,test,shd_undir,31
315,lingam,train,shd_dir,87
316,lingam,train,shd_undir,55
317,lingam,val,shd_dir,75
318,lingam,val,shd_undir,51
319,lingam,test,shd_dir,75
320,lingam,test,shd_undir,45
321,ges,train,shd_dir,43
322,ges,train,shd_undir,32
323,ges,val,shd_dir,38
324,ges,val,shd_undir,29
325,ges,test,shd_dir,35
326,ges,test,shd_undir,24
328,pc,train,shd_dir,48
329,pc,train,shd_undir,24
330,pc,val,shd_dir,48
331,pc,val,shd_undir,38
332,pc,test,shd_dir,43
333,pc,test,shd_undir,33
334,lingam,train,shd_dir,92
335,lingam,train,shd_undir,60
336,lingam,val,shd_dir,79
337,lingam,val,shd_undir,49
338,lingam,test,shd_dir,81
339,lingam,test,shd_undir,51
340,ges,train,shd_dir,70
341,ges,train,shd_undir,50
342,ges,val,shd_dir,42
343,ges,val,shd_undir,31
